OBJECTID,ADDRESS,CONTACT,PHONE,EMAIL,CONTACT2,WEB_URL,COMMENTS,NAME,ORGANIZATION,PLOTS,ACRES,MAR_ID,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,1327 VAN BUREN STREET NW,,,,,,,Ft Stevens Garden,DPR,9,0.0499568,290152,CommunityGardenPly_1,{A6A5DB81-8EB9-496E-830D-C31D32B2DD5C},,,,,0,0
2,300 VAN BUREN STREET NW,,,,,,,Takoma Garden,DPR,11,0.07450692,296168,CommunityGardenPly_2,{50393FB7-40B2-4985-9BC6-D8E8EBA378DD},,,,,0,0
3,OREGON AVENUE NW AND NORTHAMPTON STREET NW,,,,,http://dcgardens.com/community-gardens/, ,Rock Creek Garden,NPS,,0.88765651,904431,CommunityGardenPly_3,{FA312E39-9C4F-4771-8374-B84AD66CCA4A},,,,,0,0
4,13TH STREET NW AND FORT STEVENS DRIVE NW,,,,,,,Fort Stevens Community Garden,NPS,,0.72235769,903937,CommunityGardenPly_4,{824C54A8-18F4-49E9-ACC8-29AC840F3C6D},,,,,0,0
5,8TH STREET NW AND PEABODY STREET NW,,,,,http://dcgardens.com/community-gardens/, ,Peabody Garden,NPS,,1.34352136,901763,CommunityGardenPly_5,{333979A7-C704-4321-B21C-131CC3D3696E},,,,,0,0
6,NICHOLSON STREET NW AND BLAIR ROAD NW,,,,,,,Blair Road Community Garden,NPS,,5.30981636,18636,CommunityGardenPly_6,{BB4FAC07-575B-4400-89FE-CD4566F4B76E},,,,,0,0
7,9TH STREET NW AND MISSOURI AVENUE NW, ,387-3984, ,Alice Martin,http://dpr.dc.gov/page/dpr-community-gardens, ,Emery Garden,DPR,40,0.28843981,902554,CommunityGardenPly_7,{66D3ED26-5372-4C68-B1F6-8B2AF344C5FD},,,,,0,0
8,100 GALLATIN STREET NE,,,,,http://mamiedleegarden.blogspot.com/, ,Mamie D. Lee Garden,NPS,,1.20283496,294470,CommunityGardenPly_8,{5AEFCE60-E2BB-4851-97AC-F6F4130E2D1E},,,,,0,0
9,1340 HAMILTON STREET NW,,,,,,,Hamilton Garden,DPR,8,0.0441164,255042,CommunityGardenPly_9,{F657C1B7-F88F-4EC9-81F0-9162C04E1753},,,,,0,0
10,BELT ROAD NW AND DAVENPORT STREET NW,Martha Hamilton,362-1434, , ,http://fieldtoforknetwork.org/community-gardens/fort-reno/, ,Fort Reno Garden,NPS,,0.16955999,903365,CommunityGardenPly_10,{4CE0E5F2-CD36-440A-B7E5-6BF033DF5483},,,,,0,0
11,4900 PUERTO RICO AVENUE NE,,,,,,,CAFB Urban Demonstration Garden,Capital Area Food Bank,,0.49932238,288297,CommunityGardenPly_11,{D5911E24-E319-4486-8475-8FC8A891C770},,,,,0,0
12,45TH STREET NW AND VAN NESS STREET NW,Penni St. Hilaire,966-4087,tommyt@erols.com,Tommy Tomlinson,http://dpr.dc.gov/page/dpr-community-gardens, ,Friendship Garden,DPR,50,0.57874936,903069,CommunityGardenPly_12,{195852DA-1EEF-43AD-BAA5-AD525D511F26},,,,,0,0
13,14TH STREET NW AND UPSHUR STREET NW,,,,,,,Upshur Garden,DPR,40,0.34476748,902178,CommunityGardenPly_13,{2C622191-B294-4CD5-8317-AA076268889E},,,,,0,0
14,14TH STREET NW AND TAYLOR STREET NW,,,,,http://dpr.dc.gov/page/dpr-community-gardens, ,Twin Oaks Community Garden,DPR,40,0.3287527,902177,CommunityGardenPly_14,{FF28F3A0-339D-4FC3-8FD0-4BC2EE538667},,,,,0,0
