SSL,BLDG_NUM,SECT_NUM,STRUCT_CL,STRUCT_CL_D,GRADE,GRADE_D,EXTWALL,EXTWALL_D,WALL_HGT,NUM_UNITS,SALEDATE,PRICE,QUALIFIED,AYB,YR_RMDL,EYB,SALE_NUM,LIVING_GBA,USECODE,LANDAREA,GIS_LAST_MOD_DTTM,OBJECTID
0027    0030,1,1,C,Brick/Concr,25,Fair +,BV,Brick Veneer,20,,1900/01/01 00:00:00+00,,U,1961,,1985,1,13867,81,12362,2023/01/05 05:16:47+00,16843106
0027    0030,2,1,0,No Data,0,Default,BR,Brick,10,,1900/01/01 00:00:00+00,,U,1957,,1957,1,8000,81,12362,2023/01/05 05:16:47+00,16843107
0027    0819,1,1,B,Reinf Concr,50,Very Good,0,Typical,9,102,1998/01/30 00:00:00+00,0,U,1959,,1985,2,71934,22,11076,2023/01/05 05:16:47+00,16843108
0027    0820,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,140,1900/01/01 00:00:00+00,,U,1962,1988,1980,1,112937,29,15178,2023/01/05 05:16:47+00,16843109
0027    0823,1,1,B,Reinf Concr,50,Very Good,0,Typical,8,240,2006/03/16 00:00:00+00,1200000,Q,1950,2002,1990,1,164017,32,22823,2023/01/05 05:16:47+00,16843110
0028    0063,1,1,C,Brick/Concr,40,Good,BV,Brick Veneer,22,,2007/04/26 00:00:00+00,0,U,1914,,1930,1,7566,75,2658,2023/01/05 05:16:47+00,16843111
0028    0122,1,1,C,Brick/Concr,60,Excellent,BR,Brick,12,,2016/07/01 00:00:00+00,411007,U,1900,2007,1980,3,2673,42,1047,2023/01/05 05:16:47+00,16843112
0028    0172,1,1,,,,,,,,,2011/01/18 00:00:00+00,0,U,2011,,2011,1,0,81,23249,2023/01/05 05:16:47+00,16843113
0028    0891,1,1,C,Brick/Concr,25,Fair +,BR,Brick,9,9,1999/04/01 00:00:00+00,0,U,1940,,1940,1,4800,28,3600,2023/01/05 05:16:47+00,16843114
0028    0893,1,1,C,Brick/Concr,40,Good,BR,Brick,9,160,2007/04/26 00:00:00+00,0,U,1959,,1959,1,126522,22,20729,2023/01/05 05:16:47+00,16843115
0028    0903,1,1,C,Brick/Concr,50,Very Good,BR,Brick,9,48,2020/01/02 00:00:00+00,0,U,1964,,1964,3,40184,22,6095,2023/01/05 05:16:47+00,16843116
0028    2267,1,1,B,Reinf Concr,30,Average,WS,Wood Siding,8,0,1999/04/14 00:00:00+00,0,U,1983,,1983,1,1416,57,322,2023/01/05 05:16:47+00,16843117
0028    2268,1,1,B,Reinf Concr,30,Average,WS,Wood Siding,8,0,2016/11/30 00:00:00+00,1358000,U,1983,,1983,2,1290,57,293,2023/01/05 05:16:47+00,16843118
0028    2269,1,1,B,Reinf Concr,30,Average,WS,Wood Siding,8,0,2016/11/30 00:00:00+00,1358000,U,1983,,1983,2,1290,57,293,2023/01/05 05:16:47+00,16843119
0028    2270,1,1,B,Reinf Concr,30,Average,WS,Wood Siding,8,0,1900/01/01 00:00:00+00,,U,1983,,1983,1,1138,57,259,2023/01/05 05:16:47+00,16843120
