X,Y,LITTERID,MAPX,MAPY,LINK_ID,TYPE,BUSSTOP,NAME,CREATEDAT,GLOBALID,LINERCHG,OWNER,LINEREA,LCAN_REPAI,RAT_COVER,POWERWASH,LCAN_DAMAG,DOOR,CONCRETE_B,COMMENTS,SENSORED,OBJECTID,GIS_ID,GLOBALID_1,CREATOR,CREATED,EDITOR,EDITED
-77.0263468071455,38.9800634503375,2164,397717.34033,145792.515493,5001,1,1,TQ,2004/02/23 05:00:00+00,{DB5B0462-3D90-41AB-979E-C8E6E0F73139},,1, , ,,, ,dented, ,"ratplates, powerwash",0,1,LitterCans_1,{EC765977-149C-4257-A3B2-26B0D2D0880C},,,,
-77.0364706067471,38.9793110850564,2146,396840.114455,145709.298295,8067,1,0,TQ,2004/02/23 05:00:00+00,{3CB00911-DC7B-4C02-B8C9-B9DEE6F17CB9},,1, , ,,, , , , ,0,2,LitterCans_3,{9076E3B2-D63B-4817-826D-79BE638BDDF3},,,,
-77.0362320106395,38.9792490925528,2147,396860.786243,145702.407699,8067,1,0,TQ,2004/02/23 05:00:00+00,{BC56C7C9-2D70-411A-849B-137F3EC68CFD},,1, , ,,, , , , ,0,3,LitterCans_4,{DF338FF8-9609-40F4-87C9-96746B12D9A1},,,,
-77.0265819755616,38.9791514135785,2162,397696.933565,145691.276737,12326,2,0,TQ,2004/02/23 05:00:00+00,{8989AA65-88A4-44A5-B51E-7C5380DA95B3},,1, , ,,, , , ,"ratplates, powerwash",0,4,LitterCans_5,{721D0642-E32F-4EBD-A539-1178760877F1},,,,
-77.0263332664959,38.9788378394965,4378,397721.064363,145655.489624,12326,1,1,TQ,2004/08/11 04:00:00+00,{0796A9F7-7EE2-4D95-9AA1-379641626914},,1, , ,,, , , ,"ratplates, powerwash",0,5,LitterCans_6,{978520D7-00C0-4D1E-BE0E-60B8CFB14A18},,,,
-77.0263094741165,38.9783827312905,2161,397720.520605,145605.939355,26342,1,1,TQ,2004/02/23 05:00:00+00,{ABAD0712-E452-4482-94AB-76A9C03D6694},,1, , ,,, , , , ,0,6,LitterCans_7,{95229FBD-C3BA-4BDE-A3CD-5417C5463D83},,,,
-77.0332369724891,38.9779011084083,2179,0,0,0,1,0,TQ,,{01EA9149-6F94-49FD-9662-FB3D65140ED3},,1, , ,,, , , ,"ratplates, powerwash",0,7,LitterCans_9,{E3F2140F-CA17-47E0-AB79-F4EDEB2AEEA2},,,,
-77.0329922679126,38.9778653609891,2178,397141.445518,145548.694404,5429,1,0,TQ,2004/02/23 05:00:00+00,{DE802B03-C500-4D94-8DEE-1E7DCC7B4C52},,1, , ,,, , , ,"ratplates, powerwash",0,8,LitterCans_11,{23FB3B10-E362-4A31-A67D-E45C03BB189A},,,,
-77.0267674009983,38.9760692513925,2158,397680.767167,145349.132143,20349,2,0,TQ,2004/02/23 05:00:00+00,{E85CB830-C728-4E9B-8DD6-AB3285CB90E7},,1, , ,,, , , ,"ratplates, powerwash",0,9,LitterCans_12,{62B39B3B-85C1-447B-BAF6-82B9E257791A},,,,
-77.0352317139304,38.9759773036819,0,0,0,0,1,0,TQ,,{540672E3-2CE0-40E9-A75C-C1BCD78615D5},,1, , ,,, , , ,"ratplates, powerwash",0,10,LitterCans_13,{9B230C3B-BACF-429F-A967-7E76D812C6E8},,,,
-77.0350191826671,38.9759739624073,2183,0,0,0,1,0,TQ,,{C950A69F-65A3-49B6-B322-C0C90D62B17F},,1, , ,,, , , ,"ratplates, powerwash",0,11,LitterCans_14,{CABC6C81-1C41-4F7C-B398-12DA5C72F195},,,,
-77.0665774196327,38.9758740364617,0,0,0,0,1,0,TQ,,{79AF06A9-D762-48CF-8252-CC43004BF7F0},,1, ,bolted/tightened,,, ,dented, , ,0,12,LitterCans_15,{9532CB30-A6A4-4408-9F27-598767271536},,,,
-77.0265256486526,38.9757231382045,2157,397701.703978,145310.703819,10358,1,0,TQ,2004/02/23 05:00:00+00,{F0AC247C-722D-40E4-A94F-3BDEB00975E0},,1, , ,,, , , ,"ratplates, powerwash",0,13,LitterCans_17,{84D76B10-896C-485A-A1D7-C47C34947AB4},,,,
-77.0360311761599,38.9752598247306,2150,396878.012733,145259.554395,11804,1,1,TQ,2004/02/23 05:00:00+00,{DCED1EA9-CA3B-4573-B599-3AD4AF5AE460},,1, , ,,, , , ,"ratplates, powerwash",0,14,LitterCans_19,{DD4CE8C1-603C-459F-944F-E1123C942DCF},,,,
-77.0362452609559,38.9752358867585,2149,396859.461128,145256.904166,1996,1,1,TQ,2004/02/23 05:00:00+00,{2360BD7A-FBEE-49A1-9C73-ADA64131A06F},,2, , ,,, , , ,"ratplates, powerwash",0,15,LitterCans_20,{D337A828-1929-4F55-B5F3-EDCCEFEA20A7},,,,
-77.0358362825221,38.9751683519731,0,0,0,0,1,0,TQ,,{99D49E37-5277-42CF-9CAD-7A31E5724F4F},,1, , ,,, , , ,"ratplates, powerwash",0,16,LitterCans_21,{87552832-8757-4133-8202-44D1DEE77F39},,,,
