OBJECTID,NAME,ADDRESS,USE_TYPE,PROPID,ACTIVE,DIAMOND60,DIAMOND90,BBCOURT,FBFIELD,SOCCERJR,SOCCERREG,TENNISCT,VOLLEYB,SKATEPARK,WOODLAND,VSTRSHCAN,DMPSTR,PICNIC,PLYGRD,TOTLOT,INSWIM,OUTSWIM,SPRAYPARK,UTILBX,TRAFPOLE,UTILPOLE,BUSSTP,LOCK_,NMZ,DRINKFOUNT,BENCHES,ATHLIGHT,LNDSCPBED,TOTIMPV,SIGNS,TURFONLY,FENCE,TOPO,COMMGAR,WARD,AREA_,ZONE_,PARKPARTN,RES_NUM,ADJ_SCHOOL_SITE,COMMENTS,SSL,DATE_ACQUIRED,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,Plymouth Circle,"Plymouth St. & Parkside Ln., NW",CIRCLE,DPR_0616,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0616,none,TOJ for Comp Plan,RES 06160000,,{0304E325-2A15-4BF8-AB08-2D12BCE51D32},,,,,0,0
2,Triangle Park RES 0566,"Plymouth Street at Sudbury Lane, NW",MEDIAN,DPR_0566,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0566,none,TOJ for Comp Plan,RES 5660000,,{1B70BAF1-D84D-44E3-8ABE-D27CBD3B8CB7},,,,,0,0
3,Shepherd Field,"Kalmia and Jonquil Sts., NW",PARK,DPR_0437,Y,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,N,Ward 4,,09,,0437,Shepherd Elementary School,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),Multiple Lots,1972/11/14 00:00:00+00,{CE53A23E-FC8A-4CB6-A508-8607D7A205EA},,,,,0,0
4,Marvin Caplan Memorial Park,"Alaska Ave.,13th St.,Holly St.,NW",TRIANGLE,DPR_0340,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0340,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),RES 03400000,1972/12/14 00:00:00+00,{78998939-A911-464C-B3F0-73ED8E9DD982},,,,,0,0
5,Pinehurst Circle,"Western Ave and Pinhurst Circle, NW",PARK,DPR_0564,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,Ward 4,,01,,0564,none,TOJ for Comp Plan,RES 05640000,1972/12/14 00:00:00+00,{A452AE1D-FD72-41DD-BE25-D78A4FE0793D},,,,,0,0
6,Triangle Park 3278    0801,"4th St. and Blair Rd., NW",SMALL PARK,DPR_0032,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,none,none,,3278    0801,,{D00F7DB1-0E9E-4770-BE5E-511E824B8D0D},,,,,0,0
7,Fort Stevens,"Luzon Ave., between Van Buren and 13th Sts., NW",REC CENTER GROUNDS,DPR_0631,Y,2,0,3,0,0,1,4,0,N,Y,10,1,7,1,1,0,0,N,,,,Y,,Y,3,20,RpAIR,Nne,Nw,RpLACE,Pr,ChnLnk,MdSlp,N,Ward 4,,09,,0631,none,Subdivision Book 162 Page 2 (TOJ for Recreation Purposes),Multiple Lots,1926/01/01 00:00:00+00,{E628B808-71B6-4648-9FE0-B7916122F63E},,,,,0,0
8,Takoma Recreation Center,"Van Buren St., between 3rd and 4th Sts., NW",REC CENTER GROUNDS,DPR_0377,Y,1,0,1,0,1,0,0,0,N,N,5,1,1,1,1,0,0,N,0,0,0,,,Y,,4,RpLACE,RpAIR,Nne,Nne,Pr,ChnLnk,MdSlp,Y,Ward 4,,09,,0377,none,Subdivision Book 158 Page 37 (TOJ for Recreation Purposes),RES 03770000,1972/11/14 00:00:00+00,{F6BF76B3-4A24-4A9B-9094-FCBE6A7C3117},,,,,0,0
9,Takoma Community Center,"Van Buren and Sheridan Sts., to 3rd & 5th Sts., NW",REC CENTER GROUNDS,DPR_0445,Y,3,0,0,0,0,1,6,0,N,Y,0,1,0,0,0,1,0,Y,0,0,0,,,Y,,5,RpLACE,RpLACE,,Nne,Gd,Nne,Flt,N,Ward 4,,09,,0445,none,Subdivision Book 158 Page 11 (TOJ for Recreation Purposes),RES 04450000,1971/10/18 00:00:00+00,{B6D565E3-CAD2-4100-AFE1-B0D2011F666C},,,,,0,0
10,Triangle Park RES 0648,"14th St., between Underwood St. & Luzon Ave., NW",TRIANGLE,DPR_0648,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ward 4,,09,,0648,none,TOJ for Comp Plan,PAR 00880225,,{BABBE749-1D2E-42E6-B3B3-A80C7EFB6ED6},,,,,0,0
