X,Y,OBJECTID,LATITUDE,LONGITUDE,DATE_MARKED,YEAR_MARKED,VOLUNTEER_GROUP,CATCH_BASIN_ID,INTERSECTION,GIS_ID,CREATOR,CREATED,EDITOR,EDITED
-77.0630689685469,38.9677411355572,1,38.967733,-77.063067,4/29/2010,2010,St. Johns College High School,C-212-152-664-198,Patterson & 31st,StormDrainsPt_100,,,,
-77.0639495296558,38.967724469481,2,38.967717,-77.063947,4/29/2010,2010,St. Johns College High School,C-211-152-900-194,Patterson & 32nd st,StormDrainsPt_95,,,,
-77.0628828590043,38.9676689085751,3,38.967661,-77.062881,4/29/2010,2010,St. Johns College High School,C-212-152-823-114,Patterson & 31st,StormDrainsPt_102,,,,
-77.064057864487,38.9676661358335,4,38.967658,-77.064056,4/29/2010,2010,St. Johns College High School,C-211-152-800-137,Patterson & 32nd st,StormDrainsPt_94,,,,
-77.0608689697097,38.9671994644822,5,38.967192,-77.060867,4/29/2010,2010,St. Johns College High School,C-214-151-558-552,Nebraska & Utah,StormDrainsPt_109,,,,
-77.0610356348919,38.9671800188812,6,38.967172,-77.061033,4/29/2010,2010,St. Johns College High School,C-214-151-411-536,Nebraska & Utah,StormDrainsPt_108,,,,
-77.0091411731502,38.9668661329987,7,38.966858,-77.009139,11/3/2009,2009,Young America Works Pcs,C-259-150-376-183,N. Capitol (6300 block),StormDrainsPt_65,,,,
-77.0664412013742,38.9668077972273,8,38.9668,-77.066439,4/29/2010,2010,St. Johns College High School,C-209-151-716-226,33rd & Oliver st,StormDrainsPt_75,,,,
-77.0639467544906,38.966805017166,9,38.966797,-77.063944,4/29/2010,2010,St. Johns College High School,C-211-151-878-179,Oliver st & 32nd st,StormDrainsPt_92,,,,
-77.0634689778877,38.9667744692641,10,38.966767,-77.063467,4/29/2010,2010,St. Johns College High School,C-212-151-291-134,3144 Oliver st,StormDrainsPt_97,,,,
-77.0633023085812,38.9667744695293,11,38.966767,-77.0633,4/29/2010,2010,St. Johns College High School,C-212-151-433-131,3144 Oliver st,StormDrainsPt_99,,,,
-77.0664439801741,38.9667189112569,12,38.966711,-77.066442,4/29/2010,2010,St. Johns College High School,C-209-151-820-223,33rd & Oliver st,StormDrainsPt_76,,,,
-77.0634661961265,38.9666828028353,13,38.966675,-77.063464,4/29/2010,2010,St. Johns College High School,C-212-151-290-024,3144 Oliver st,StormDrainsPt_96,,,,
-77.0651884191102,38.9666772431636,14,38.966669,-77.065186,4/29/2010,2010,St. Johns College High School,C-210-151-797-058,3214 Oliver st,StormDrainsPt_81,,,,
-77.0091550651632,38.9664994692484,15,38.966492,-77.009153,11/3/2009,2009,Young America Works Pcs,C-259-149-318-759,N Capitol & Shendan,StormDrainsPt_64,,,,
-77.0664828634408,38.9658744648389,16,38.965867,-77.066481,4/29/2010,2010,St. Johns College High School,C-209-150-658-188,Northampton & 33rd st,StormDrainsPt_73,,,,
-77.0664884152372,38.9657772446425,17,38.965769,-77.066486,4/29/2010,2010,St. Johns College High School,C-209-150-646-080,Northampton & 33rd st,StormDrainsPt_72,,,,
-77.0663162014847,38.9657189059178,18,38.965711,-77.066314,4/29/2010,2010,St. Johns College High School,C-209-150-793-014,Northampton & 33rd st,StormDrainsPt_74,,,,
-77.0622023021899,38.9654994646821,19,38.965492,-77.0622,4/29/2010,2010,St. Johns College High School,C-213-149-366-681,Nebraska & 30th,StormDrainsPt_106,,,,
-77.0069495137272,38.9654744645408,20,38.965467,-77.006947,11/3/2009,2009,Young America Works Pcs,C-261-148-239-595,1st & Rittenhouse,StormDrainsPt_67,,,,
-77.0093245075467,38.9652105827385,21,38.965203,-77.009322,11/3/2009,2009,Young America Works Pcs,C-259-148-166-348,In front of US Post office & Ideal Academy,StormDrainsPt_68,,,,
-77.0616745235716,38.9649994620119,22,38.964992,-77.061672,4/29/2010,2010,St. Johns College High School,C-213-149-795-121,30th & McKinley St NW,StormDrainsPt_107,,,,
