OBJECTID,COMPANY,GROWINGADDRESS,STATUS,ACREAGE,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,SHAPEAREA,SHAPELEN
1,Laurel Academy Farm,6808 Laurel St NW,Non-profit,0.2,UrbanAgriculturePly_1,{096FA6F0-1FA5-424A-AA21-3199C5E2F354},,,,,0,0
2,Neighborhood Farm Initiative,100 Gallatin St NE,Non-profit,0.23999999,UrbanAgriculturePly_2,{093975BE-A15C-4B42-9DD5-4D4A44BC2E52},,,,,0,0
3,"Good Sense Farm & Apiary, LLC",3400 Georgia Ave NW,For-profit,0.17,UrbanAgriculturePly_3,{030F1F99-1E3F-459B-965F-7A87E90394E7},,,,,0,0
4,Washington Parks & People,3313 11th St NW,Non-profit,0.25,UrbanAgriculturePly_4,{271D026F-A72F-4107-BC1F-072782010949},,,,,0,0
5,Three Part Harmony Farm,3104 4th St NE,For-profit,2,UrbanAgriculturePly_5,{1978E1FB-D670-48C5-9DF0-092C7DD3A097},,,,,0,0
6,City Blossoms,1480 Girard St NW,Non-profit,0.07,UrbanAgriculturePly_6,{7024429F-98D9-4C02-AE49-68BC1226A152},,,,,0,0
7,Little Wild Things City Farm,2131 Lincoln Rd NE,For-profit,0.125,UrbanAgriculturePly_7,{1689ACEA-59DD-4CD7-AC56-1B63027D2063},,,,,0,0
8,Cultivate the City,2216 North Capitol St NW,For-profit,0.02,UrbanAgriculturePly_8,{8D1C6353-3D4E-4995-9341-C9C54B86FAC4},,,,,0,0
9,Common Good City Farm,334 V St NW,Non-profit,0.5,UrbanAgriculturePly_9,{EBAD0523-1D0D-44C3-93BC-B4537FA41B72},,,,,0,0
10,City Blossoms,1519 Marion St NW,Non-profit,0.1,UrbanAgriculturePly_10,{83D61ED7-66BE-41CF-92BC-5817128A6C02},,,,,0,0
11,Cultivate the City,1412 North Capitol St NW,For-profit,0.03,UrbanAgriculturePly_11,{F41E4AF6-0311-43D0-956D-4EEA4B87ABC7},,,,,0,0
12,Little Wild Things City Farm,3201 Grace St NW,For-profit,0.01,UrbanAgriculturePly_12,{4E71A31C-EB5D-4C20-B92F-A8A597EFD47F},,,,,0,0
13,DC Greens,111 K St NW,Non-profit,0.75,UrbanAgriculturePly_13,{DD1AA3B2-1D54-4734-8E26-8E9CDDCFEF17},,,,,0,0
14,Cultivate the City,700 K St NE,For-profit,0.02,UrbanAgriculturePly_14,{EF90B186-060B-413F-9C25-D165D1A9284D},,,,,0,0
15,Cultivate the City,640 K St NE,For-profit,0.05,UrbanAgriculturePly_15,{212BC1F9-7383-4C18-ACD6-56BE5F4D6C8D},,,,,0,0
16,Cultivate the City,910 Bladensburg Rd NE,For-profit,0.08,UrbanAgriculturePly_16,{0CC6241A-B0EA-4A3A-AA28-3115FF33CC9F},,,,,0,0
17,Washington Parks & People,5000 Nannie Helen Burroughs Ave NE,Non-profit,0.85000002,UrbanAgriculturePly_17,{7D55989C-8669-4BB8-A8AA-2FD3376FEA4C},,,,,0,0
18,Department of Parks and Recreation (DPR),4801 Nannie Helen Burroughs Ave NE,Non-profit,0.25,UrbanAgriculturePly_18,{91E5319D-6039-4C28-B551-7053E7A4F589},,,,,0,0
19,Cultivate the City,601 15th St NE,For-profit,0.05,UrbanAgriculturePly_19,{E240732D-D7AE-45F5-96F5-C95865F54D59},,,,,0,0
20,Washington Parks & People,601 Division Ave NE,Non-profit,0.005,UrbanAgriculturePly_20,{FE2A6692-3BF3-46C2-BABD-C11344C7A794},,,,,0,0
21,Up Top Acres,401 7th St NW,For-profit,0.04,UrbanAgriculturePly_21,{7077D79A-F7B8-4AC8-AA09-C5650DB7F516},,,,,0,0
22,East Capitol Urban Farm (UDC),5901 East Capitol St SE,Non-profit,3,UrbanAgriculturePly_22,{1CDA34AF-1F48-4F21-97B9-2416FFD629E5},,,,,0,0
23,DC Urban Greens,3779 Ely Pl SE,Non-profit,0.34999999,UrbanAgriculturePly_23,{BFA33EDF-1502-4FF7-8D69-75F13F2BAF18},,,,,0,0
24,DC Greens,3675 Ely Pl SE,Non-profit,0.022,UrbanAgriculturePly_24,{6107EEB9-F463-4071-AE84-2395F001F764},,,,,0,0
25,Dreaming Out Loud,700 Delaware Ave SW,Non-profit,0.25,UrbanAgriculturePly_25,{2E0BBB2D-A508-4D56-87AF-75F12C395A5F},,,,,0,0
26,Up Top Acres,1015 Half St SE,For-profit,0.56999999,UrbanAgriculturePly_26,{B5F91A98-82D0-4C4B-912C-F344AEB2A8D8},,,,,0,0
27,Up Top Acres,55 M St SE,For-profit,0.34400001,UrbanAgriculturePly_27,{F425B46D-7D91-4B43-916A-33A64E4B6766},,,,,0,0
28,THEARC Farm,1901 Mississippi Ave SE,Non-profit,0.40000001,UrbanAgriculturePly_28,{0D72D2FD-426A-44DB-A76E-2FA2656C96EC},,,,,0,0
29,Project EDEN,3754 Martin Luther King Jr Ave SE,Non-profit,0.028,UrbanAgriculturePly_29,{E8C0CB23-E407-4967-9FA7-2276D4510250},,,,,0,0
