ZONING,ZONING_WEB_URL,ZONING_CHANGE_NARRATIVE,ZONING_STATUS,ZONING_LABEL,ZONE_DESCRIPTION,ZONE_DISTRICT,IZ_DESIGNATION,ZR58,ZR16,GLOBALID,OBJECTID,SHAPEAREA,SHAPELEN
MU-6B,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-6/,"Official Digital Zoning Map of July 1, 2010; ZC 21-08 renamed zone from MU-6 to MU-6B",Final,MU-6B,Permits medium to high density mixed-use development with a focus on residential use,Mixed-Use Zone,,C-2-C,MU-6B,{91645645-0BC7-49F4-A4AC-5B8235297256},740727,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{5F1733A7-5DAD-4C11-A368-FB58415B3BE1},740728,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{BB8644D3-B31C-4392-B8B2-968D4BC86AE8},740729,0,0
PDR-2,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-2/,"Official Digital Zoning Map of July 1, 2010",Final,PDR-2,"Permits medium density commercial and production, distribution, and repair activities requiring some heavy machinery","Production, Distribution, and Repair Zone",,C-M-2,PDR-2,{D82B269C-E6A0-4C52-B4A4-CDD29A2E0306},740730,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{9535D742-A44B-44A5-9A8A-85319A5DCD21},740731,0,0
MU-10,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-10/,"Official Digital Zoning Map of July 1, 2010",Final,MU-10,Permits medium to high density mixed-use development with a balance of uses ,Mixed-Use Zone,,CR,MU-10,{26F3A691-BAED-48BE-965D-44A8CE3344C3},740732,0,0
RA-5,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-5/,"Official Digital Zoning Map of July 1, 2010",Final,RA-5,permits high-density apartments,Residential Apartment Zone,,R-5-E,RA-5,{D6DEEB5E-9A50-4D15-9D83-EA0B0566CA14},740733,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed Mapping Error on March 12, 2012 by removing nodes in Square 1057",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{F45DB3DB-1E80-4789-9646-B209FE087A78},740734,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{B71C0BDE-1AAA-4BF6-96F8-830DC4859732},740735,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{AF67504D-F24C-4010-B2D4-6669829BCCB9},740736,0,0
R-1-B,https://handbook.dcoz.dc.gov/zones/residential/R-1-B/,"Misc map corrections in Square 5388 on March 30, 2012",Final,R-1-B,Provides areas predominantly developed with detached houses on moderately sized lots.,Residential Zone,,R-1-B,R-1-B,{2B9E0938-4DFD-4BD9-AEE2-D41442FC1F84},740737,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{A729ECAB-3EB3-440A-AC43-F5D4F3E5D3AE},740738,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{9208529E-9529-4073-8CEE-329AE4EA20D6},740739,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{63002887-5267-466A-B237-196F8E1386D1},740740,0,0
RA-3,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-3/,"Official Digital Zoning Map of July 1, 2010",Final,RA-3,Permits moderate to medium density apartments,Residential Apartment Zone,,R-5-C,RA-3,{4EE979BC-3F4A-4F43-9851-39C6CEC7A393},740741,0,0
D-2,https://handbook.dcoz.dc.gov/zones/downtown/d-2/,"Official Digital Zoning Map of July 1, 2010",Final,D-2,Ensures development consistent with historic resources in the vicinity of Judiciary Square and the White House,Downtown Zone,,SP-2,D-2,{33BCD6D0-E94A-4FB5-A1F6-C2BCC8DE7FB1},740742,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{D69B2EBD-941E-4E11-8B1B-E1CAC694AA10},740743,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{C15E1CE5-883E-4ED5-9612-2ED3B92097A5},740744,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{BF7260A2-5DF1-455A-8E0C-C7D0BC7B1028},740745,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{A6A0BC09-07FF-4A03-9F03-34FB4AA7CDA7},740746,0,0
MU-3A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-3/,"Official Digital Zoning Map of July 1, 2010",Final,MU-3A,Permits low density mixed use development ,Mixed-Use Zone,,C-1,MU-3A,{90954672-4808-45DB-AF21-B9AD0BF5B039},740747,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{09C032DA-FCFB-49B0-89D8-3DD7B428C63D},740748,0,0
RA-4,https://handbook.dcoz.dc.gov/zones/residential-apartment/RA-4/,"Official Digital Zoning Map of July 1, 2010",Final,RA-4,Permits medium to high-desnity apartments,Residential Apartment Zone,,R-5-D,RA-4,{FDD5D04C-ACB5-4B9B-874E-D0005918E530},740749,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Fixed zoning boundary in Square 3187 to match DCGIS baist map on March 23, 2012",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{9216A2F4-C53E-4C5F-8896-14F7BBB71759},740750,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{F7ABC451-8BB2-4BB1-AC5A-694AA76345A0},740751,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-4/,"Official Digital Zoning Map of July 1, 2010",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{8B0E8C02-690A-42A4-B8DC-4EA1B2672294},740752,0,0
MU-5A,https://handbook.dcoz.dc.gov/zones/mixed-use/MU-5A/,"Correction of Maping error to align zoning boundary to match property line between Lots 246 and 244 in Square 0621 on March 7, 2012 ",Final,MU-5A,"Permits medium density, compact mixed-use development with an emphasis on residential use",Mixed-Use Zone,,C-2-B,MU-5A,{98D0EFE0-F1CB-4630-8DEF-15608CADC43A},740753,0,0
MU-4,https://handbook.dcoz.dc.gov/zones/production-distribution-and-repair/pdr-1/,"MA from PDR-1 to MU-4 by ZC 18-07 on March 13, 2020",Final,MU-4,Permits moderate density mixed use development,Mixed-Use Zone,,C-2-A,MU-4,{58A16764-6934-48CE-B5E3-F5A3D3B1ADC0},740754,0,0
